year,avg_temp
1796,25.03
1797,26.71
1798,24.29
1799,25.28
1800,25.21
1801,24.22
1802,25.63
1803,25.38
1804,25.68
1805,25.30
1806,25.22
1807,24.97
1808,
1809,
1810,
1811,
1812,
1813,24.56
1814,23.73
1815,24.09
1816,23.70
1817,23.86
1818,24.37
1819,23.90
1820,24.12
1821,24.83
1822,24.93
1823,24.63
1824,25.30
1825,25.11
1826,25.12
1827,25.36
1828,24.90
1829,24.71
1830,25.07
1831,24.43
1832,24.62
1833,24.85
1834,24.82
1835,23.90
1836,24.54
1837,24.42
1838,24.38
1839,24.45
1840,24.72
1841,24.49
1842,24.78
1843,24.75
1844,24.36
1845,24.60
1846,25.16
1847,24.66
1848,24.45
1849,24.49
1850,24.78
1851,24.76
1852,24.65
1853,24.88
1854,25.02
1855,25.24
1856,23.86
1857,24.30
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,24.89
1871,24.88
1872,24.94
1873,25.06
1874,24.25
1875,25.38
1876,24.93
1877,25.08
1878,25.18
1879,24.86
1880,25.45
1881,25.09
1882,24.89
1883,24.82
1884,24.67
1885,24.38
1886,24.89
1887,24.90
1888,24.88
1889,25.21
1890,25.06
1891,24.68
1892,25.49
1893,23.84
1894,24.74
1895,25.15
1896,25.83
1897,25.39
1898,25.55
1899,25.86
1900,25.56
1901,25.49
1902,25.66
1903,25.14
1904,25.07
1905,24.75
1906,25.17
1907,25.02
1908,25.14
1909,24.75
1910,24.81
1911,25.36
1912,25.25
1913,24.94
1914,25.12
1915,25.73
1916,25.07
1917,23.84
1918,25.28
1919,24.84
1920,24.99
1921,26.04
1922,25.18
1923,25.26
1924,24.98
1925,24.85
1926,24.78
1927,24.73
1928,25.65
1929,25.39
1930,25.10
1931,25.58
1932,25.63
1933,24.52
1934,24.96
1935,24.81
1936,24.76
1937,24.81
1938,25.36
1939,25.24
1940,25.07
1941,26.30
1942,25.40
1943,25.25
1944,24.98
1945,24.78
1946,25.47
1947,25.72
1948,25.45
1949,25.60
1950,24.66
1951,25.58
1952,25.84
1953,26.14
1954,25.68
1955,25.15
1956,25.30
1957,24.91
1958,25.93
1959,25.56
1960,25.53
1961,24.80
1962,25.18
1963,25.46
1964,25.05
1965,25.26
1966,25.52
1967,24.98
1968,25.02
1969,25.80
1970,25.39
1971,24.81
1972,25.42
1973,25.56
1974,25.52
1975,25.02
1976,25.33
1977,25.41
1978,25.21
1979,25.81
1980,26.02
1981,25.79
1982,25.18
1983,24.75
1984,25.56
1985,25.86
1986,25.31
1987,26.54
1988,26.11
1989,25.43
1990,25.54
1991,25.74
1992,25.52
1993,25.92
1994,25.87
1995,25.92
1996,25.55
1997,24.71
1998,25.77
1999,26.36
2000,26.05
2001,25.86
2002,26.63
2003,25.72
2004,26.24
2005,25.72
2006,26.37
2007,26.15
2008,25.68
2009,26.55
2010,26.52
2011,25.63
2012,25.89
2013,26.71
