year,avg_temp
1796,24.59
1797,26.21
1798,23.82
1799,24.85
1800,24.79
1801,23.74
1802,25.23
1803,24.98
1804,25.30
1805,24.89
1806,24.80
1807,24.39
1808,
1809,
1810,
1811,
1812,
1813,24.14
1814,23.32
1815,23.67
1816,23.33
1817,23.45
1818,23.80
1819,23.44
1820,23.67
1821,24.43
1822,24.55
1823,24.29
1824,24.89
1825,24.69
1826,24.71
1827,24.90
1828,24.49
1829,24.30
1830,24.61
1831,24.05
1832,24.30
1833,24.44
1834,24.36
1835,23.43
1836,24.17
1837,24.06
1838,24.03
1839,24.10
1840,24.35
1841,24.17
1842,24.32
1843,24.30
1844,23.93
1845,24.19
1846,24.65
1847,24.18
1848,24.03
1849,24.05
1850,24.44
1851,24.37
1852,24.19
1853,24.53
1854,24.63
1855,24.76
1856,23.45
1857,23.86
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,26.76
1866,24.65
1867,24.75
1868,24.43
1869,24.57
1870,24.44
1871,24.51
1872,24.52
1873,24.62
1874,24.53
1875,24.84
1876,24.67
1877,24.83
1878,24.94
1879,24.43
1880,24.79
1881,24.44
1882,24.39
1883,24.35
1884,24.21
1885,24.11
1886,24.44
1887,24.31
1888,24.52
1889,24.90
1890,24.53
1891,24.30
1892,25.06
1893,23.53
1894,24.54
1895,24.68
1896,25.57
1897,25.32
1898,24.94
1899,25.02
1900,25.14
1901,25.02
1902,25.17
1903,24.82
1904,24.56
1905,24.13
1906,24.79
1907,24.68
1908,24.93
1909,24.52
1910,24.47
1911,24.79
1912,24.71
1913,24.51
1914,24.77
1915,25.06
1916,24.58
1917,23.60
1918,24.72
1919,24.48
1920,24.76
1921,25.35
1922,24.74
1923,25.00
1924,24.94
1925,24.40
1926,24.58
1927,24.60
1928,25.28
1929,24.99
1930,24.91
1931,25.36
1932,25.21
1933,24.28
1934,24.64
1935,24.60
1936,24.33
1937,24.32
1938,24.71
1939,24.75
1940,24.65
1941,25.67
1942,25.09
1943,24.94
1944,24.59
1945,24.41
1946,24.95
1947,25.21
1948,25.02
1949,25.00
1950,24.43
1951,25.12
1952,25.31
1953,25.54
1954,25.15
1955,24.70
1956,24.75
1957,24.66
1958,25.74
1959,25.30
1960,25.23
1961,24.53
1962,24.82
1963,24.90
1964,24.98
1965,24.98
1966,25.58
1967,24.77
1968,24.64
1969,25.43
1970,24.93
1971,24.09
1972,25.06
1973,25.23
1974,25.14
1975,24.82
1976,25.05
1977,25.15
1978,24.66
1979,25.51
1980,25.31
1981,25.05
1982,24.92
1983,24.43
1984,25.00
1985,25.44
1986,25.00
1987,25.82
1988,25.60
1989,24.95
1990,25.12
1991,25.32
1992,25.27
1993,25.27
1994,25.33
1995,25.55
1996,25.31
1997,24.71
1998,25.46
1999,25.78
2000,25.35
2001,25.33
2002,26.12
2003,25.41
2004,25.59
2005,25.62
2006,25.85
2007,25.44
2008,25.11
2009,25.99
2010,26.02
2011,25.06
2012,25.45
2013,26.12
