year,avg_temp
1796,24.99
1797,26.49
1798,24.27
1799,25.25
1800,25.20
1801,24.19
1802,25.64
1803,25.40
1804,25.72
1805,25.30
1806,25.21
1807,24.69
1808,
1809,
1810,
1811,
1812,
1813,24.55
1814,23.80
1815,24.08
1816,23.81
1817,23.87
1818,24.00
1819,23.74
1820,24.02
1821,24.88
1822,25.04
1823,24.76
1824,25.31
1825,25.09
1826,25.12
1827,25.29
1828,24.90
1829,24.71
1830,25.01
1831,24.47
1832,24.76
1833,24.87
1834,24.71
1835,23.73
1836,24.65
1837,24.54
1838,24.50
1839,24.55
1840,24.86
1841,24.77
1842,24.70
1843,24.70
1844,24.32
1845,24.57
1846,24.87
1847,24.48
1848,24.37
1849,24.37
1850,24.90
1851,24.82
1852,24.56
1853,25.03
1854,25.06
1855,25.09
1856,23.91
1857,24.26
1858,24.86
1859,24.95
1860,24.66
1861,24.59
1862,
1863,
1864,
1865,25.01
1866,25.11
1867,25.12
1868,24.79
1869,24.87
1870,24.81
1871,24.97
1872,24.95
1873,25.01
1874,24.85
1875,24.94
1876,25.01
1877,25.02
1878,25.40
1879,25.15
1880,24.96
1881,24.85
1882,24.92
1883,24.60
1884,24.59
1885,24.80
1886,25.04
1887,24.58
1888,24.94
1889,25.42
1890,24.89
1891,24.70
1892,25.27
1893,24.01
1894,25.20
1895,24.92
1896,25.66
1897,25.62
1898,25.27
1899,25.16
1900,25.47
1901,25.34
1902,25.47
1903,25.33
1904,25.07
1905,24.37
1906,25.25
1907,24.94
1908,25.39
1909,25.16
1910,25.02
1911,25.09
1912,25.11
1913,24.68
1914,25.03
1915,25.56
1916,25.19
1917,24.47
1918,24.74
1919,24.95
1920,25.34
1921,25.52
1922,25.12
1923,25.30
1924,25.60
1925,24.76
1926,25.02
1927,25.20
1928,25.55
1929,25.25
1930,25.13
1931,25.65
1932,25.54
1933,24.76
1934,25.20
1935,25.25
1936,24.99
1937,24.86
1938,25.27
1939,25.41
1940,25.26
1941,25.76
1942,25.60
1943,25.42
1944,25.17
1945,24.96
1946,25.19
1947,25.63
1948,25.49
1949,25.01
1950,25.06
1951,25.63
1952,25.65
1953,25.90
1954,25.52
1955,25.47
1956,25.22
1957,25.65
1958,26.33
1959,25.52
1960,25.69
1961,25.22
1962,25.20
1963,25.39
1964,25.45
1965,25.38
1966,26.07
1967,25.51
1968,25.11
1969,25.78
1970,25.44
1971,24.43
1972,25.41
1973,25.64
1974,25.53
1975,25.55
1976,25.58
1977,25.39
1978,25.03
1979,26.01
1980,25.75
1981,25.12
1982,25.37
1983,25.11
1984,25.27
1985,25.77
1986,25.40
1987,25.87
1988,25.97
1989,25.40
1990,25.44
1991,25.55
1992,25.58
1993,25.66
1994,25.71
1995,25.76
1996,25.75
1997,25.46
1998,25.87
1999,25.97
2000,25.58
2001,25.82
2002,26.06
2003,25.83
2004,25.69
2005,26.11
2006,26.13
2007,25.59
2008,25.56
2009,26.31
2010,26.54
2011,25.48
2012,25.98
2013,26.79
