year,avg_temp
1796,24.01
1797,25.22
1798,23.33
1799,24.28
1800,24.24
1801,23.24
1802,24.70
1803,24.46
1804,24.80
1805,24.35
1806,24.25
1807,23.66
1808,
1809,
1810,
1811,
1812,
1813,23.59
1814,22.86
1815,23.13
1816,22.86
1817,22.92
1818,22.99
1819,22.80
1820,23.07
1821,23.92
1822,24.06
1823,23.85
1824,24.37
1825,24.12
1826,24.18
1827,24.29
1828,23.95
1829,23.76
1830,24.01
1831,23.55
1832,23.80
1833,23.91
1834,23.75
1835,22.79
1836,23.69
1837,23.60
1838,23.58
1839,23.62
1840,23.92
1841,23.83
1842,23.71
1843,23.67
1844,23.36
1845,23.62
1846,23.90
1847,23.50
1848,23.46
1849,23.43
1850,23.93
1851,23.86
1852,23.62
1853,24.07
1854,24.11
1855,24.09
1856,22.96
1857,23.28
1858,23.91
1859,23.98
1860,23.71
1861,23.63
1862,18.86
1863,
1864,
1865,24.09
1866,24.19
1867,24.17
1868,23.84
1869,23.89
1870,23.82
1871,24.01
1872,23.98
1873,24.03
1874,23.88
1875,23.90
1876,24.02
1877,24.05
1878,24.59
1879,24.10
1880,23.94
1881,23.79
1882,23.94
1883,23.64
1884,23.56
1885,23.85
1886,24.06
1887,23.68
1888,24.08
1889,24.44
1890,23.99
1891,23.75
1892,24.33
1893,22.94
1894,24.26
1895,23.97
1896,24.75
1897,24.71
1898,24.23
1899,24.28
1900,24.64
1901,24.30
1902,24.63
1903,24.35
1904,24.03
1905,23.56
1906,24.31
1907,23.92
1908,24.30
1909,24.10
1910,24.08
1911,24.21
1912,24.32
1913,23.79
1914,24.09
1915,24.65
1916,24.21
1917,23.41
1918,23.86
1919,23.94
1920,24.38
1921,24.61
1922,24.08
1923,24.34
1924,24.62
1925,23.93
1926,24.06
1927,24.37
1928,24.57
1929,24.31
1930,24.16
1931,24.69
1932,24.57
1933,23.79
1934,24.29
1935,24.37
1936,24.12
1937,23.91
1938,24.30
1939,24.40
1940,24.22
1941,24.78
1942,24.62
1943,24.43
1944,24.21
1945,24.09
1946,24.18
1947,24.60
1948,24.52
1949,24.17
1950,24.05
1951,24.57
1952,24.70
1953,25.00
1954,24.58
1955,24.55
1956,24.24
1957,24.76
1958,25.42
1959,24.63
1960,24.73
1961,24.17
1962,24.19
1963,24.38
1964,24.55
1965,24.46
1966,25.16
1967,24.62
1968,24.22
1969,24.87
1970,24.40
1971,23.36
1972,24.60
1973,24.67
1974,24.57
1975,24.45
1976,24.67
1977,24.45
1978,24.11
1979,25.13
1980,24.92
1981,24.24
1982,24.70
1983,24.37
1984,24.36
1985,24.81
1986,24.53
1987,24.91
1988,24.99
1989,24.57
1990,24.37
1991,24.62
1992,24.62
1993,24.74
1994,24.71
1995,24.64
1996,24.78
1997,24.55
1998,24.84
1999,24.93
2000,24.69
2001,24.76
2002,25.07
2003,24.82
2004,24.69
2005,25.07
2006,24.98
2007,24.59
2008,24.51
2009,25.38
2010,25.54
2011,24.50
2012,25.09
2013,25.98
